image_id,filename,label,annotator,date,source
1,Saree_00001.jpg,Saree,Abhinav Dogra,2026-02-15,cbazaar.com
2,Saree_00002.jpg,Saree,Naman Aggrawal,2026-02-22,biba.in
3,Saree_00003.jpg,Saree,Abhinav Dogra,2026-03-08,sikshalochan.nic.in
4,Saree_00004.jpg,Saree,Abhinav Dogra,2026-03-05,texmin.nic.in
5,Saree_00005.jpg,Saree,Abhinav Dogra,2026-02-15,nykafashion.com
6,Saree_00006.jpg,Saree,Naman Aggrawal,2026-02-22,india.gov.in/textiles
7,Saree_00007.jpg,Saree,Krish Aggrawal,2026-02-15,sikshalochan.nic.in
8,Saree_00008.jpg,Saree,Naman Aggrawal,2026-03-09,sikshalochan.nic.in
9,Saree_00009.jpg,Saree,Kartik Sansanwal,2026-02-22,nift.ac.in
10,Saree_00010.jpg,Saree,Krish Aggrawal,2026-02-23,myntra.com
11,Saree_00011.jpg,Saree,Naman Aggrawal,2026-03-09,texmin.nic.in
12,Saree_00012.jpg,Saree,Pratham Gupta,2026-02-23,biba.in
13,Saree_00013.jpg,Saree,Naman Aggrawal,2026-03-11,pantaloons.com
14,Saree_00014.jpg,Saree,Abhinav Dogra,2026-02-17,handlooms.nic.in
15,Saree_00015.jpg,Saree,Abhinav Dogra,2026-02-26,limeroad.com
16,Saree_00016.jpg,Saree,Krish Aggrawal,2026-02-23,ajio.com
17,Saree_00017.jpg,Saree,Kartik Sansanwal,2026-03-04,fabindia.com
18,Saree_00018.jpg,Saree,Kartik Sansanwal,2026-02-17,sikshalochan.nic.in
19,Saree_00019.jpg,Saree,Pratham Gupta,2026-03-13,limeroad.com
20,Saree_00020.jpg,Saree,Krish Aggrawal,2026-02-21,nykafashion.com
21,Saree_00021.jpg,Saree,Abhinav Dogra,2026-03-08,utsavfashion.com
22,Saree_00022.jpg,Saree,Pratham Gupta,2026-02-17,utsavfashion.com
23,Saree_00023.jpg,Saree,Abhinav Dogra,2026-02-27,cbazaar.com
24,Saree_00024.jpg,Saree,Kartik Sansanwal,2026-03-07,limeroad.com
25,Saree_00025.jpg,Saree,Naman Aggrawal,2026-02-26,limeroad.com
26,Saree_00026.jpg,Saree,Naman Aggrawal,2026-03-08,cbazaar.com
27,Saree_00027.jpg,Saree,Abhinav Dogra,2026-03-06,westside.com
28,Saree_00028.jpg,Saree,Krish Aggrawal,2026-03-10,utsavfashion.com
29,Saree_00029.jpg,Saree,Naman Aggrawal,2026-03-01,handlooms.nic.in
